A0_1;C9_0;ccaa_etapa;pernoc_etapa
20170300002462;01;10;2
20170300002462;02;10;3
20170300002463;01;10;2
20170300002464;01;10;2
20170300002563;01;10;6
20170300002565;01;10;3
20170300002568;01;10;3
20170300002569;01;10;5
20170300002570;01;10;2
20170300002572;01;10;2
20170300002607;01;09;1
20170300002607;02;05;1
20170300002607;03;05;1
20170300002607;04;01;1
20170300002607;05;10;1
20170300002607;06;09;1
20170300002608;01;09;7
20170300002609;01;09;3
20170300002609;02;10;2
20170300002610;01;09;4
20170300002611;01;09;4
20170300002611;02;09;3
20170300002655;01;09;1
20170300002656;01;09;10
20170300002657;01;09;1
20170300002659;01;09;2
20170300002660;01;09;8
20170300002661;01;09;1
20170300002663;01;09;4
20170300002663;02;05;10
20170300002664;01;09;3
20170300002701;01;09;2
20170300002702;01;09;5
20170300002702;02;09;5
20170300002721;01;09;4
20170300002725;01;13;5
20170300002725;02;09;8
20170300002726;01;09;10
20170300002764;01;09;1
20170300002764;02;05;1
20170300002764;03;05;1
20170300002764;04;01;1
20170300002764;05;10;1
20170300002764;06;09;1
20170300002766;01;09;3
20170300002767;01;09;5
20170300002768;01;09;4
20170300002769;01;09;2
20170300002770;01;09;3
20170300002804;01;09;1
20170300002805;01;09;2
20170300002820;01;13;2
20170300002821;01;13;7
20170300002822;01;07;2
20170300002822;02;13;1
20170300002823;01;13;3
20170300002915;01;13;4
20170300002916;01;03;8
20170300002917;01;13;2
20170300002918;01;13;7
20170300002919;01;13;4
20170300002963;01;13;2
20170300002964;01;13;4
20170300002967;01;13;7
20170300002971;01;13;3
20170300002972;01;01;7
20170300003062;01;13;3
20170300003064;01;13;2
20170300003066;01;13;7
20170300003067;01;13;3
20170300003111;01;13;3
20170300003112;01;13;3
20170300003113;01;13;1
20170300003116;01;10;60
20170300003120;01;01;45
20170300003125;01;10;15
20170300003127;01;01;10
20170300003129;01;01;25
20170300003131;01;09;3
20170300003132;01;09;7
20170300003137;01;10;1
20170300003137;02;14;1
20170300003139;01;10;70
20170300003144;01;09;2
20170300003144;02;10;2
20170300003144;03;10;2
20170300003144;04;01;1
20170300003144;05;01;2
20170300003150;01;10;7
20170300003152;01;01;7
20170300003153;01;09;14
20170300003154;01;10;30
20170300003158;01;10;15
20170300003159;01;01;28
20170300003165;01;10;7
20170300003166;01;10;8
20170300003167;01;10;3
20170300003170;01;01;1
20170300003248;01;09;1
20170300003248;02;09;20
20170300003248;03;16;1
20170300003248;04;03;1
20170300003248;05;13;4
20170300003248;06;16;4
20170300003248;07;01;1
20170300003248;08;01;9
20170300003263;01;07;2
20170300003271;01;13;1
20170300003277;01;13;2
20170300003383;01;10;1
20170300003383;02;01;1
20170300003385;01;01;5
20170300003385;02;01;1
20170300003390;01;01;2
20170300003392;01;10;7
20170300003396;01;10;1
20170300003396;02;10;1
20170300003397;01;10;4
20170300003398;01;10;5
20170300003398;02;14;2
20170300003400;01;10;7
20170300003401;01;13;1
20170300003403;01;01;3
20170300003409;01;09;5
20170300003414;01;09;2
20170300003416;01;09;3
20170300003420;01;09;3
20170300003425;01;09;2
20170300003431;01;09;7
20170300003432;01;09;8
20170300003437;01;01;22
20170300003437;02;01;6
20170300003437;03;07;1
20170300003437;04;01;2
20170300003437;05;07;1
20170300003441;01;01;1
20170300003441;02;07;1
20170300003441;03;01;1
20170300003442;01;07;2
20170300003445;01;13;3
20170300003446;01;17;2
20170300003448;01;09;3
20170300003449;01;09;2
20170300003450;01;09;2
